name,mean,std,var,min,max
greedy,175388,0,0,175388,175388
greedy_bestsum,175248,0,0,175248,175248
greedy_bestpair,175340,0,0,175340,175340
greedy_tryall,175388,0,0,175388,175388
uniform_grasp,91084,2444,5973540,88293,96482
linear_HBSS_grasp,95951,1791,3209954,91793,98456
exponential_HBSS_grasp,174698,61,3730,174605,174794
uniform_RCL_grasp,170031,276,76664,169404,170456
linear_RCL_grasp,170156,189,35877,169896,170486
exponential_RCL_grasp,174728,50,2553,174643,174819
ant_system,175388,0,0,175388,175388
