name,mean,std,var,min,max
greedy,202228,0,0,202228,202228
greedy_bestsum,202226,0,0,202226,202226
greedy_bestpair,201889,0,0,201889,201889
greedy_tryall,202228,0,0,202228,202228
uniform_grasp,104513,2939,8639838,99392,109070
linear_HBSS_grasp,107375,2647,7008238,100338,110949
exponential_HBSS_grasp,202189,22,520,202134,202222
uniform_RCL_grasp,196453,173,29980,196154,196692
linear_RCL_grasp,196469,201,40500,196201,196810
exponential_RCL_grasp,202186,25,629,202137,202219
ant_system,202228,0,0,202228,202228
