name,mean,std,var,min,max
greedy,163467,0,0,163467,163467
greedy_bestsum,163424,0,0,163424,163424
greedy_bestpair,163009,0,0,163009,163009
greedy_tryall,163467,0,0,163467,163467
uniform_grasp,85010,2990,8944934,79523,91974
linear_HBSS_grasp,87803,1950,3804654,84423,91032
exponential_HBSS_grasp,161978,62,3954,161875,162097
uniform_RCL_grasp,158426,200,40037,157995,158639
linear_RCL_grasp,158588,160,25669,158393,158922
exponential_RCL_grasp,162026,54,2974,161936,162099
ant_system,163467,0,0,163467,163467
