name,mean,std,var,min,max
greedy,229338,0,0,229338,229338
greedy_bestsum,229226,0,0,229226,229226
greedy_bestpair,229330,0,0,229330,229330
greedy_tryall,229338,0,0,229338,229338
uniform_grasp,118320,4566,20853057,108536,125572
linear_HBSS_grasp,124468,3167,10031630,118714,129107
exponential_HBSS_grasp,225317,179,32369,225026,225603
uniform_RCL_grasp,223465,239,57551,223160,223811
linear_RCL_grasp,223418,139,19567,223217,223656
exponential_RCL_grasp,225287,137,18780,224993,225454
ant_system,229338,0,0,229338,229338
