name,mean,std,var,min,max
greedy,129047,0,0,129047,129047
greedy_bestsum,129019,0,0,129019,129019
greedy_bestpair,129004,0,0,129004,129004
greedy_tryall,129047,0,0,129047,129047
uniform_grasp,65736,1462,2138211,62953,67937
linear_HBSS_grasp,70119,1187,1409958,68200,72607
exponential_HBSS_grasp,128427,72,5328,128303,128566
uniform_RCL_grasp,124530,223,50007,123997,124805
linear_RCL_grasp,124675,217,47495,124126,124939
exponential_RCL_grasp,128428,69,4818,128333,128537
ant_system,129047,0,0,129047,129047
