name,mean,std,var,min,max
greedy,359737,0,0,359737,359737
greedy_bestsum,359691,0,0,359691,359691
greedy_bestpair,359502,0,0,359502,359502
greedy_tryall,359737,0,0,359737,359737
uniform_grasp,184559,5389,29046744,175455,194017
linear_HBSS_grasp,196259,5362,28761642,186107,207285
exponential_HBSS_grasp,358143,92,8624,357965,358291
uniform_RCL_grasp,352000,180,32731,351755,352330
linear_RCL_grasp,352009,200,40014,351728,352349
exponential_RCL_grasp,358143,63,4063,358025,358224
ant_system,359737,0,0,359737,359737
